target,class,split,count,pct,check,mean,std,min,max,median,q1,q3,missing_count,infinite_count
reaction_class,NEUTRAL,SYMBOL_WIPRO,28,70.0,symbol_distribution,,,,,,,,,
reaction_class,POSITIVE,SYMBOL_WIPRO,5,12.5,symbol_distribution,,,,,,,,,
reaction_class,NEGATIVE,TRAIN,229,20.05,split_distribution,,,,,,,,,
reaction_class,NEUTRAL,TRAIN,664,58.14,split_distribution,,,,,,,,,
reaction_class,POSITIVE,TRAIN,249,21.8,split_distribution,,,,,,,,,
reaction_class,NEGATIVE,VAL,59,16.57,split_distribution,,,,,,,,,
reaction_class,NEUTRAL,VAL,239,67.13,split_distribution,,,,,,,,,
reaction_class,POSITIVE,VAL,58,16.29,split_distribution,,,,,,,,,
reaction_class,NEGATIVE,TEST,76,19.29,split_distribution,,,,,,,,,
reaction_class,NEUTRAL,TEST,241,61.17,split_distribution,,,,,,,,,
reaction_class,POSITIVE,TEST,77,19.54,split_distribution,,,,,,,,,
reaction_class,MISSING,OVERALL,0,0.0,missing_check,,,,,,,,,
reaction_class,INFINITE,OVERALL,0,0.0,infinite_check,,,,,,,,,
abnormal_return_1d,ALL,OVERALL,1892,100.0,overall_stats,0.000473,0.018294,-0.075134,0.157106,-0.000344,-0.009444,0.009002,0.0,0.0
abnormal_return_1d,ALL,YEAR_2015,44,100.0,yearly_stats,-0.002227,0.020823,-0.055357,0.060988,-0.001137,-0.010214,0.00842,0.0,0.0
abnormal_return_1d,ALL,YEAR_2016,176,100.0,yearly_stats,-0.000459,0.0165,-0.060244,0.06819,-0.000999,-0.011447,0.009638,0.0,0.0
abnormal_return_1d,ALL,YEAR_2017,179,100.0,yearly_stats,-0.000287,0.017786,-0.050768,0.073092,-0.000712,-0.008913,0.008229,0.0,0.0
abnormal_return_1d,ALL,YEAR_2018,184,100.0,yearly_stats,0.000742,0.01847,-0.055561,0.050893,-0.000566,-0.010652,0.012641,0.0,0.0
abnormal_return_1d,ALL,YEAR_2019,183,100.0,yearly_stats,0.000594,0.021029,-0.05578,0.157106,-0.000311,-0.010113,0.008633,0.0,0.0
abnormal_return_1d,ALL,YEAR_2020,186,100.0,yearly_stats,0.002519,0.024599,-0.075134,0.128173,-0.000168,-0.011047,0.011499,0.0,0.0
abnormal_return_1d,ALL,YEAR_2021,190,100.0,yearly_stats,0.001386,0.01837,-0.042819,0.130689,0.000915,-0.008374,0.007553,0.0,0.0
abnormal_return_1d,ALL,YEAR_2022,110,100.0,yearly_stats,-0.001474,0.01701,-0.044139,0.06647,-0.001856,-0.012181,0.008951,0.0,0.0
abnormal_return_1d,ALL,YEAR_2023,196,100.0,yearly_stats,0.000746,0.013227,-0.044052,0.04438,0.000769,-0.006376,0.007199,0.0,0.0
abnormal_return_1d,ALL,YEAR_2024,200,100.0,yearly_stats,0.000265,0.01954,-0.072166,0.099715,-0.001663,-0.009917,0.009145,0.0,0.0
abnormal_return_1d,ALL,YEAR_2025,155,100.0,yearly_stats,-0.00035,0.013187,-0.040792,0.050393,-0.000967,-0.008249,0.008003,0.0,0.0
abnormal_return_1d,ALL,YEAR_2026,89,100.0,yearly_stats,0.001852,0.015429,-0.034566,0.053538,0.001509,-0.009626,0.010828,0.0,0.0
abnormal_return_1d,ALL,TRAIN,1142,100.0,split_stats,0.000654,0.019698,-0.075134,0.157106,-0.000326,-0.009832,0.009809,0.0,0.0
abnormal_return_1d,ALL,VAL,356,100.0,split_stats,-4.3e-05,0.014481,-0.046419,0.06647,-0.000204,-0.00812,0.007985,0.0,0.0
abnormal_return_1d,ALL,TEST,394,100.0,split_stats,0.000414,0.017146,-0.072166,0.099715,-0.000781,-0.008982,0.008981,0.0,0.0
abnormal_return_3d,ALL,OVERALL,1892,100.0,overall_stats,0.001756,0.02919,-0.114924,0.186006,-0.000483,-0.015234,0.015798,0.0,0.0
